Date,Adj Close,Close,High,Low,Open,Volume
2006-04-07,91.13937377929688,129.5399932861328,131.39999389648438,129.35000610351562,131.05999755859375,80180900
2006-04-10,91.28012084960938,129.74000549316406,130.0800018310547,129.25999450683594,129.74000549316406,41496500
2006-04-11,90.50616455078125,128.63999938964844,130.05999755859375,128.25,129.85000610351562,72799400
2006-04-12,90.675048828125,128.8800048828125,129.1300048828125,128.61000061035156,128.77000427246094,43033700
2006-04-13,90.55543518066406,128.7100067138672,129.25,128.30999755859375,128.58999633789062,51051800
2006-04-17,90.5202407836914,128.66000366210938,129.30999755859375,128.02000427246094,128.8300018310547,64167700
2006-04-18,91.95549774169922,130.6999969482422,130.94000244140625,128.92999267578125,128.92999267578125,92531800
2006-04-19,92.13142395019531,130.9499969482422,131.07000732421875,130.24000549316406,130.75,87269000
2006-04-20,92.25804138183594,131.1300048828125,131.86000061035156,130.60000610351562,131.0,86005500
2006-04-21,92.27214050292969,131.14999389648438,131.7899932861328,130.6199951171875,131.69000244140625,72342600
2006-04-24,92.103271484375,130.91000366210938,131.07000732421875,130.3800048828125,130.88999938964844,52546400
2006-04-25,91.72332000732422,130.3699951171875,131.1199951171875,129.9199981689453,131.0399932861328,84359800
2006-04-26,91.74444580078125,130.39999389648438,131.13999938964844,130.3000030517578,130.5,67262400
2006-04-27,92.18768310546875,131.02999877929688,131.6300048828125,129.58999633789062,129.89999389648438,124478600
2006-04-28,92.49727630615234,131.47000122070312,131.75,130.7100067138672,130.7899932861328,55854400
2006-05-01,91.74444580078125,130.39999389648438,131.8000030517578,130.32000732421875,131.47000122070312,64990300
2006-05-02,92.43392944335938,131.3800048828125,131.4600067138672,130.74000549316406,131.00999450683594,49063500
2006-05-03,92.08918762207031,130.88999938964844,131.32000732421875,130.4499969482422,131.14999389648438,60821300
2006-05-04,92.41988372802734,131.36000061035156,131.6199951171875,130.97000122070312,131.0800018310547,42921400
2006-05-05,93.23596954345703,132.52000427246094,132.8000030517578,131.85000610351562,132.0500030517578,62588200
2006-05-08,93.12344360351562,132.36000061035156,132.77000427246094,132.36000061035156,132.50999450683594,30016700
2006-05-09,93.30635833740234,132.6199951171875,132.77000427246094,132.30999755859375,132.4199981689453,29864000
2006-05-10,93.25713348388672,132.5500030517578,132.75,131.88999938964844,132.41000366210938,64378200
2006-05-11,92.13142395019531,130.9499969482422,132.5500030517578,130.52000427246094,132.50999450683594,80626900
